objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CHBA_OVS_001,CHBA_OVS_001.jpg,,Chuito es Bayamón,image/jpeg,"Retrato de Jesús Sánchez Erazo, trovador puertorriqueño conocido como Chuito el de Bayamón. El retrato fue realizado por el artista plástico Richard Santiago quien lo convirtió en mural en el municipio de Bayamón..; <br> <br>
Portrait of Jesús Sánchez Erazo, a Puerto Rican troubadour known as Chuito el de Bayamón. The portrait was created by artist Richard Santiago, who turned it into a mural in the municipality of Bayamón.","Santiago, Richard",,2023-12-18,,single-page; photograph,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,,CHBA_OVS_001,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_002,CHBA_OVS_002.jpg,,"Resolución de la honorable Asamble de Bayamón, Puerto Rico",image/jpeg,"Resolución de la honorable Asamblea Municipal de Bayamón en la que se determina que se designe con el nombre de Jesús Sánchez Erazo (Chuito el de Bayamón) a la Escuela Santa Juanita de Bayamón, Puerto Rico..; <br> 
Resolution of the Honorable Municipal Assembly of Bayamón determining that the Santa Juanita School in Bayamón, Puerto Rico, be named after Jesús Sánchez Erazo (Chuito el de Bayamón).","Asamblea municipal de Bayamón, Puerto rico
Marrero Pérez, Aníbal
De Martínez, Haydée",,1982-09-10,,single-page; legal document,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","Bayamón, Puerto Rico",18.389396,-66.165322400,,Asamblea Municipal de Bayamón,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 5, Tapes",CHBA_OVS_002,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_003,CHBA_OVS_003.jpg,,Gobierno de Puerto Rico,image/jpeg,"Proclama en la que el gobernador en ejercicio declara los días del 5 al 11 de diciembre como la semana del Trovador Puertorriqueño. En esta se reconoce la importancia de los trovadores para mantener las tradiciones puertorriqueñas y promover la riqueza cultural de la nación..; <br>  
Proclamation in which the acting governor declares December 5-11 as Puerto Rican Troubadour Week. The proclamation recognizes the importance of troubadours in maintaining Puerto Rican traditions alive and promoting the cultural richness of the nation.","Rosello, Pedro (Gobernador de Puerto Rico 1993-2001)",,1999-12-18,,single-page; legal document,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","San Juan, Puerto Rico",18.4670588,-66.118459300,,Gobierno de Puerto Rico,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 5, Tapes",CHBA_OVS_003,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_004,CHBA_OVS_004.jpg,,El instituto de cultura puertorriqueña otorga este diploma,image/jpeg,"Diploma otorgado a Jesús Sánchez Erazo (Chuito el de Bayamón) por el Instituto de cultura puertorriqueña con motivo de  su participación en la fiesta de la música puertorriqueña en San Juan de Puerto Rico..; <br>  
Diploma awarded to Jesús Sánchez Erazo (Chuito el de Bayamón) by the Institute of Puerto Rican Culture for his participation in the Puerto Rican music festival in San Juan, Puerto Rico.","Instituto de Cultura Puertorriqueña
Campos Parsi, Héctor (Director del Programa de Música)",,1974-05-19,,single-page; diploma,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ","San Juan, Puerto Rico",18.4670588,-66.118459300,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 5, Tapes",CHBA_OVS_004,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_005,CHBA_OVS_005.jpg,,Concilio de organizaciones bayamonesas,image/jpeg,"Certificado de honor otorgado a Jesús Sánchez Erazo (Chuito el de Bayamón) por el Concilio de organizaciones bayamonesas con motivo de la cooperación en el desarrollo social y cultural de los bayamoneses y puertorriqueños..; <br> 
Certificate of honor awarded to Jesús Sánchez Erazo (Chuito el de Bayamón) by the Concilio de organizaciones bayamonesas [Council of the Organizations of Bayamón]for his cooperation in the social and cultural development of the people of Bayamón and Puerto Rico.",Concilio de organizaciones bayamonesas,,1978-12-17,,single-page; certificate,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",Nueva York; Puerto Rico;,40.7127753,-74.005972800,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Frank B. Robinson Negatives'",CHBA_OVS_005,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_006,CHBA_OVS_006.jpg,,"Fotografía de Petra, esposa de Chuito",image/jpeg,"Retrato en blanco y negro de Petra Maysonet Gago, esposa de Chuito el de Bayamón. Petra se dedicaba a la venta de dulces típicos (mampostiales) para el sostenimiento de la familia. Apoyaba a Chuito con el vestuario y maquillaje de sus presentaciones..; <br> 
Black-and-white portrait of Petra Maysonet Gago, Chuito el de Bayamón's wife. Petra sold traditional sweets (mampostiales) to support the family. She helped Chuito with his costumes and makeup for his performances.",,,,,single-page; photograph,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",,,,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 26",CHBA_OVS_006,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,,
CHBA_OVS_007,CHBA_OVS_007.jpg,,Fotografía de Juan Batista Sánchez Maysonet,image/jpeg,"Retrato en blanco y negro de la boda de Juan Bautista Sánchez Maysonet, hijo menor de Chuito el de Bayamón. A su izquierda se encuentra la novia, agarrada de su brazo. A su derecha, está su padre Chuito..; <br> 
A black-and-white portrait from the wedding of Juan Bautista Sánchez Maysonet, the youngest son of Chuito el de Bayamón. To his left stands the bride, holding his arm. To his right is his father, Chuito",,,,,single-page; photograph,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",,,,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 13",CHBA_OVS_007,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,,
CHBA_OVS_008,CHBA_OVS_008.jpg,,El viejo Boogaloo,image/jpeg,"Carátula del disco de vinilo ""El viejo Boogaloo"", Volumen 8, interpretado por Chuito, el decano de los cantores. En él se encuentra Chuito con la vestimenta típica del jíbaro, pañuelo al cuello y sombrero de paja. En la parte superior derecha se incluye el logo del sello discográfico estadounidense Ansonia Records. El vinilo incluye canciones de géneros como aguinaldos, Boogaloo, Jíbaro, Plena, Bolero, Guaracha, Milonga, Twist. Contiene las canciones ""Parrandeando"", ""Siguen los tiempos cambiando"", ""El viejo en Boogaloo"", ""Qué humanidad"", ""Campanitas de Belén"", ""El Santo Parao"", ""Deletreando la navidad"", ""El espiritista"", ""Mi yegüita"", ""Venid pastorcillos"" y ""Recuerdos de ayer""..; <br> 
Cover of the vinyl record ""El viejo Boogaloo,"" Volume 8, performed by Chuito, the dean of singers. On the cover, Chuito is dressed in traditional jíbaro attire, with a neckerchief and a straw hat. In the upper right corner is the logo of the US American record label Ansonia Records.  The vinyl includes songs from genres such as aguinaldos, Boogaloo, Jibaro, Plena, Bolero, Guaracha, Milonga and Twist. It includes the songs ""Parrandeando,"" ""Siguen los tiempos cambiando,"" ""El viejo en Boogaloo,"" ""Qué humanidad,"" ""Campanitas de Belén,"" ""El Santo Parao,"" ""Deletreando la navidad,"" ""El espiritista,"" ""Mi yegüita,"" ""Venid pastorcillos"" and ""Recuerdos de ayer.""",Ansonia Discos,,,,single-page; album cover,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",Nueva York; Puerto Rico;,40.7127753,-74.005972800,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 6, Folder - 'Photographs'",CHBA_OVS_008,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_009,CHBA_OVS_009.jpg,,Fiesta en el Batey,image/jpeg,"Carátula del disco titulado ""Fiesta en el batey"", interpretada por Chuito el de Bayamón. La imagen muestra a un grupo numeroso de hombres y niños en un entorno rural, reunidos alrededor de un buey en medio del campo. Al costado izquierdo se encuentra Chuito sosteniendo una vara. Al fondo se extiende un paisaje abierto con vegetación y un gran árbol que domina la escena. La composición transmite una atmósfera comunitaria y campesina, asociada al trabajo agrícola y la vida en el batey caribeño..; <br> 
Cover of the album titled ""Fiesta en el batey,"" performed by Chuito el de Bayamón. The image shows a large group of men and boys in a rural setting, gathered around an ox in the middle of a field. On the left side stands Chuito, holding a stick. In the background there is an open landscape with vegetation and a large tree that dominates the scene. The composition conveys a communal, rural atmosphere associated with agricultural work and life in the Caribbean batey.",Ansonia Discos,,1957,,single-page; album cover,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",Nueva York; Puerto Rico;,40.7127753,-74.005972800,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 13",CHBA_OVS_009,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
CHBA_OVS_010,CHBA_OVS_010.jpg,,Mi Gallo Camaguey,image/jpeg,"La carátula del disco ""Mi gallo Camagüey"" (Vol. 2) de Chuito el de Bayamón muestra una escena de gallera: Chuito en el costado derecho y otro hombre, agachados en el centro, sostienen gallos listos para el combate, mientras un grupo de espectadores se inclinan desde las barandas observando con atención. La imagen está ambientada en un espacio cerrado de madera, con divisiones numeradas. La escena remite a una práctica tradicional campesina caribeña..; <br> 
Cover of Chuito el de Bayamón’s album ""Mi gallo Camagüey"" (Vol. 2) depicting a cockfighting scene: Chuito on the right and another man, crouching in the center, hold roosters ready for battle, while a group of spectators lean over the railings, watching intently. The image is set in an enclosed wooden space with numbered partitions. The scene evokes a traditional Caribbean peasant practice.",Ansonia Discos,,1961,,single-page; album cover,"Retratos; Poetas, Puertorriqueños; Trovadores; Poesía; Folclore; Nacionalismo;
Portraits; Poets, Puerto Rican; Troubadors; Poetry; Folklore; Nationalism ",Nueva York; Puerto Rico;,40.7127753,-74.005972800,,,"Chuito el de Bayamón Collection. Recovering the US Hispanic Literary Heritage, University of Houston.",,"MG-101, Box 7, Folder 13",CHBA_OVS_010,Items in this collection may be under copyright. Please contact apprec@central.uh.edu for more information.,https://artepublicopress.com/permissions/,Still Image,Español; Spanish,
